File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
stm32l4xx_hal_rcc.o,18.910278%,2662,0,2662,0,0,0
stm32l4xx_hal_i2c.o,15.244725%,2146,0,2146,0,0,0
stm32l4xx_hal_rcc_ex.o,6.919088%,974,0,974,0,0,0
tx_low_power.o,5.995595%,844,4,844,0,0,4
c_w.l,3.409817%,480,96,480,0,0,96
startup_stm32l432xx.o,3.267742%,460,1536,64,396,0,1536
stm32l4xx_hal_gpio.o,3.125666%,440,0,440,0,0,0
txe_thread_create.o,2.827307%,398,0,398,0,0,0
tx_thread_system_suspend.o,2.699439%,380,0,380,0,0,0
txe_byte_pool_create.o,2.528948%,356,0,356,0,0,0
tx_timer_thread_entry.o,2.315834%,326,0,326,0,0,0
tx_thread_create.o,2.259004%,318,0,318,0,0,0
tx_thread_system_resume.o,2.187966%,308,0,308,0,0,0
stm32l4xx_hal_pwr_ex.o,1.960645%,276,0,276,0,0,0
i2c.o,1.719116%,242,84,242,0,0,84
tx_thread_schedule.o,1.562833%,220,0,220,0,0,0
tx_timer_interrupt.o,1.307097%,184,0,184,0,0,0
stm32l4xx_hal_cortex.o,1.150813%,162,0,162,0,0,0
tx_timer_initialize.o,1.136606%,160,868,160,0,0,868
tx_initialize_low_level.o,1.079776%,152,0,152,0,0,0
main.o,1.051360%,148,0,148,0,0,0
tx_thread_sleep.o,1.037153%,146,0,146,0,0,0
stm32l4xx_hal_i2c_ex.o,1.037153%,146,0,146,0,0,0
tx_byte_pool_create.o,0.994530%,140,0,140,0,0,0
stm32l4xx_hal.o,0.895077%,126,12,118,0,8,4
tx_thread_time_slice.o,0.795624%,112,0,112,0,0,0
rx8900.o,0.745898%,105,23,104,0,1,22
appmain.o,0.738794%,104,1200,104,0,0,1200
__scatter.o,0.667756%,94,0,94,0,0,0
tx_timer_system_activate.o,0.639341%,90,0,90,0,0,0
tx_thread_shell_entry.o,0.639341%,90,0,90,0,0,0
rx8900_callout.o,0.639341%,90,0,90,0,0,0
system_stm32l4xx.o,0.610926%,86,4,18,64,4,0
app_azure_rtos.o,0.596718%,84,564,84,0,0,564
rt_memclr_w.o,0.554095%,78,0,78,0,0,0
tx_initialize_kernel_enter.o,0.554095%,78,0,78,0,0,0
sys_stackheap_outer.o,0.525680%,74,0,74,0,0,0
stm32l4xx_hal_pwr.o,0.525680%,74,0,74,0,0,0
rt_memclr.o,0.483057%,68,0,68,0,0,0
tx_thread_stack_build.o,0.454642%,64,0,64,0,0,0
tx_timer_system_deactivate.o,0.412020%,58,0,58,0,0,0
tx_thread_initialize.o,0.412020%,58,172,54,0,4,168
tx_thread_timeout.o,0.383604%,54,0,54,0,0,0
stm32l4xx_hal_msp.o,0.355189%,50,0,50,0,0,0
tx_initialize_high_level.o,0.326774%,46,52,46,0,0,52
tx_timer_expiration_process.o,0.255736%,36,0,36,0,0,0
gpio.o,0.227321%,32,0,32,0,0,0
__scatter_zi.o,0.198906%,28,0,28,0,0,0
app_threadx.o,0.198906%,28,0,28,0,0,0
fz_wm.l,0.184698%,26,0,26,0,0,0
fpinit.o,0.184698%,26,0,26,0,0,0
__scatter_copy.o,0.184698%,26,0,26,0,0,0
exit.o,0.127868%,18,0,18,0,0,0
aeabi_memset.o,0.113661%,16,0,16,0,0,0
sys_exit.o,0.085245%,12,0,12,0,0,0
__rtentry2.o,0.085245%,12,0,12,0,0,0
stm32l4xx_it.o,0.085245%,12,0,12,0,0,0
rtexit2.o,0.071038%,10,0,10,0,0,0
libspace.o,0.056830%,8,96,8,0,0,96
__main.o,0.056830%,8,0,8,0,0,0
libinit2.o,0.042623%,6,0,6,0,0,0
heapauxi.o,0.042623%,6,0,6,0,0,0
__rtentry4.o,0.042623%,6,0,6,0,0,0
use_no_semi.o,0.014208%,2,0,2,0,0,0
rtexit.o,0.014208%,2,0,2,0,0,0
libshutdown2.o,0.014208%,2,0,2,0,0,0
libshutdown.o,0.014208%,2,0,2,0,0,0
libinit.o,0.014208%,2,0,2,0,0,0
