File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32l432xx.o,32.576881%,1536,460,64,396,0,1536
appmain.o,25.768824%,1215,374,360,14,0,1215
tx_timer_initialize.o,18.409332%,868,306,286,20,0,868
app_azure_rtos.o,11.961824%,564,107,88,19,0,564
tx_thread_initialize.o,3.647932%,172,130,126,0,4,168
c_w.l,2.036055%,96,480,480,0,0,96
libspace.o,2.036055%,96,8,8,0,0,96
i2c.o,1.781548%,84,354,354,0,0,84
tx_initialize_high_level.o,1.102863%,52,134,134,0,0,52
applowpowermgr.o,0.254507%,12,366,366,0,0,12
rx8900.o,0.169671%,8,1598,1598,0,0,8
tx_low_power.o,0.084836%,4,736,736,0,0,4
system_stm32l4xx.o,0.084836%,4,86,18,64,4,0
stm32l4xx_hal.o,0.084836%,4,72,68,0,4,0
