File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32l432xx.o,25.976662%,1024,456,60,396,0,1024
idle.o,11.364789%,448,366,342,0,24,424
drv_usart.o,10.755961%,424,2854,2556,278,20,404
kservice.o,8.523592%,336,1886,1552,306,28,308
object.o,7.204465%,284,1757,1326,147,284,0
shell.o,7.026890%,277,2567,2408,139,20,257
scheduler_up.o,6.900051%,272,1166,1078,72,16,256
drv_gpio.o,6.595637%,260,1946,1594,92,260,0
kstdio.o,3.145611%,124,2088,1810,154,124,0
cmd.o,3.044140%,120,5179,4070,989,120,0
c_w.l,2.435312%,96,2134,1862,272,0,96
libspace.o,2.435312%,96,8,8,0,0,96
dev_pin.o,1.826484%,72,2125,1804,321,0,72
timer.o,0.710299%,28,2147,1996,123,28,0
cpuport.o,0.405885%,16,1528,1512,0,16,0
irq.o,0.304414%,12,116,104,0,12,0
stm32l4xx_hal.o,0.228310%,9,39,30,0,9,0
thread.o,0.202943%,8,2829,2448,373,8,0
cpu_up.o,0.202943%,8,122,114,0,8,0
completion_up.o,0.202943%,8,844,762,74,8,0
clock.o,0.202943%,8,215,168,39,8,0
system_stm32l4xx.o,0.101471%,4,320,244,72,4,0
serial.o,0.101471%,4,4239,3838,397,4,0
drv_common.o,0.101471%,4,401,360,37,4,0
