File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
ipc.o,6.755344%,6333,0,5504,829,0,0
usbd_core.o,6.189999%,5803,828,4882,93,828,0
cmd.o,5.524384%,5179,120,4070,989,120,0
c_w.l,5.238512%,4911,360,4570,329,12,348
serial.o,4.521697%,4239,4,3838,397,4,0
usb_dc_fsdev.o,4.509963%,4228,400,4228,0,0,400
thread.o,3.282203%,3077,8,2696,373,8,0
stm32l4xx_hal_rcc.o,2.880061%,2700,0,2700,0,0,0
shell.o,2.738192%,2567,277,2408,139,20,257
dataqueue.o,2.491786%,2336,0,2202,134,0,0
dev_pin.o,2.458719%,2305,72,1984,321,0,72
sensor.o,2.379784%,2231,8,1892,331,8,0
timer.o,2.290182%,2147,28,1996,123,28,0
kstdio.o,2.227247%,2088,124,1810,154,124,0
mem.o,2.123779%,1991,0,1498,493,0,0
drv_gpio.o,2.075778%,1946,260,1594,92,260,0
kservice.o,2.009643%,1884,336,1550,306,28,308
object.o,1.874173%,1757,284,1326,147,284,0
msh.o,1.808039%,1695,0,1536,159,0,0
ctime.o,1.763238%,1653,134,1454,179,20,114
dev_i2c_bit_ops.o,1.696036%,1590,0,1578,12,0,0
cpuport.o,1.629901%,1528,16,1512,0,16,0
dev_alarm.o,1.582967%,1484,105,1312,171,1,104
ringbuffer.o,1.569100%,1471,0,1238,233,0,0
device.o,1.565900%,1468,0,1282,186,0,0
fz_wm.l,1.491232%,1398,0,1398,0,0,0
cherry_vcom.o,1.434697%,1345,205,988,208,149,56
bh1750fvi.o,1.376029%,1290,12,1274,4,12,0
stm32l4xx_hal_rcc_ex.o,1.318428%,1236,0,1236,0,0,0
scheduler_up.o,1.243760%,1166,272,1078,72,16,256
dev_rtc.o,1.157358%,1085,4,988,93,4,0
completion_up.o,0.900286%,844,8,762,74,8,0
syscalls.o,0.894952%,839,0,738,101,0,0
dev_soft_rtc.o,0.855485%,802,232,694,84,24,208
scheduler_comm.o,0.811751%,761,0,704,57,0,0
stm32l4xx_hal_gpio.o,0.782950%,734,0,734,0,0,0
ddiv.o,0.733882%,688,0,688,0,0,0
dev_i2c_core.o,0.645347%,605,0,586,19,0,0
dev_i2c_dev.o,0.599479%,562,0,468,94,0,0
drv_soft_i2c.o,0.509878%,478,180,406,72,0,180
flsbuf.o,0.501344%,470,0,470,0,0,0
startup_stm32l432xx.o,0.486410%,456,1024,60,396,0,1024
kstring.o,0.458676%,430,0,430,0,0,0
drv_common.o,0.453343%,425,4,384,37,4,0
board.o,0.403209%,378,0,378,0,0,0
idle.o,0.390408%,366,448,342,0,24,424
cpu_usage_cmd.o,0.388275%,364,4,328,32,4,0
stm32l4xx_hal_cortex.o,0.386142%,362,0,362,0,0,0
cpu_usage.o,0.371208%,348,72,344,4,0,72
main.o,0.366941%,344,1204,340,0,4,1200
dmul.o,0.362674%,340,0,340,0,0,0
__printf_flags_wp.o,0.357341%,335,0,318,17,0,0
context_rvds.o,0.349874%,328,0,328,0,0,0
system_stm32l4xx.o,0.341341%,320,4,244,72,4,0
lc_ctype_c.o,0.337074%,316,0,44,272,0,0
initio.o,0.332807%,312,0,312,0,0,0
usbd_cdc.o,0.315740%,296,0,296,0,0,0
components.o,0.270939%,254,0,218,36,0,0
fseek.o,0.264539%,248,0,248,0,0,0
stdio.o,0.256005%,240,0,240,0,0,0
fopen.o,0.251739%,236,0,236,0,0,0
clock.o,0.229338%,215,8,168,39,8,0
_printf_intcommon.o,0.189871%,178,0,178,0,0,0
stm32l4xx_hal_pwr_ex.o,0.187737%,176,0,176,0,0,0
_strtoul.o,0.174937%,164,0,164,0,0,0
dnaninf.o,0.166404%,156,0,156,0,0,0
strncmp.o,0.160003%,150,0,150,0,0,0
rt_memcpy_v6.o,0.147203%,138,0,138,0,0,0
strcmpv7m.o,0.136536%,128,0,128,0,0,0
_printf_hex_int.o,0.136536%,128,0,88,40,0,0
cpu_up.o,0.130136%,122,8,114,0,8,0
strtoul.o,0.128003%,120,0,120,0,0,0
irq.o,0.123736%,116,12,104,0,12,0
strtol.o,0.119469%,112,0,112,0,0,0
rt_memcpy_w.o,0.106669%,100,0,100,0,0,0
cstdlib.o,0.106669%,100,0,100,0,0,0
d2f.o,0.104536%,98,0,98,0,0,0
__dczerorl2.o,0.096002%,90,0,90,0,0,0
memcmp.o,0.093869%,88,0,88,0,0,0
strncpy.o,0.091735%,86,0,86,0,0,0
dflt_clz.o,0.089602%,84,0,84,0,0,0
rt_memclr_w.o,0.083202%,78,0,78,0,0,0
_printf_pad.o,0.083202%,78,0,78,0,0,0
fclose.o,0.081068%,76,0,76,0,0,0
sys_stackheap_outer.o,0.078935%,74,0,74,0,0,0
strcpy.o,0.076802%,72,0,72,0,0,0
setvbuf.o,0.074668%,70,0,70,0,0,0
rt_memclr.o,0.072535%,68,0,68,0,0,0
ftell.o,0.070402%,66,0,66,0,0,0
stm32l4xx_hal_msp.o,0.068268%,64,0,64,0,0,0
strlen.o,0.066135%,62,0,62,0,0,0
atomic_arm.o,0.066135%,62,0,62,0,0,0
msh_parse.o,0.064001%,60,0,60,0,0,0
defsig_rtred_inner.o,0.055468%,52,0,52,0,0,0
__scatter.o,0.055468%,52,0,52,0,0,0
defsig_general.o,0.053334%,50,0,50,0,0,0
_printf_char_common.o,0.051201%,48,0,48,0,0,0
stm32l4xx_hal.o,0.041601%,39,9,30,0,9,0
_printf_char_file.o,0.038401%,36,0,36,0,0,0
completion_comm.o,0.036267%,34,0,34,0,0,0
libinit2.o,0.029867%,28,0,28,0,0,0
_chval.o,0.029867%,28,0,28,0,0,0
__scatter_zi.o,0.029867%,28,0,28,0,0,0
fputc.o,0.027734%,26,0,26,0,0,0
atoi.o,0.027734%,26,0,26,0,0,0
strcat.o,0.025601%,24,0,24,0,0,0
noretval__2printf.o,0.025601%,24,0,24,0,0,0
syscall_mem.o,0.025601%,24,0,24,0,0,0
strchr.o,0.021334%,20,0,20,0,0,0
exit.o,0.019200%,18,0,18,0,0,0
rt_ctype_table.o,0.017067%,16,0,16,0,0,0
defsig_rtred_outer.o,0.014934%,14,0,14,0,0,0
__printf_wp.o,0.014934%,14,0,14,0,0,0
dretinf.o,0.012800%,12,0,12,0,0,0
stdio_streams.o,0.012800%,12,264,0,0,12,252
__rtentry2.o,0.012800%,12,0,12,0,0,0
fretinf.o,0.010667%,10,0,10,0,0,0
fpinit.o,0.010667%,10,0,10,0,0,0
rtexit2.o,0.010667%,10,0,10,0,0,0
defsig_exit.o,0.010667%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.008534%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.008534%,8,0,8,0,0,0
libspace.o,0.008534%,8,96,8,0,0,96
ferror.o,0.008534%,8,0,8,0,0,0
__main.o,0.008534%,8,0,8,0,0,0
libshutdown2.o,0.006400%,6,0,6,0,0,0
heapauxi.o,0.006400%,6,0,6,0,0,0
_printf_x.o,0.006400%,6,0,6,0,0,0
__rtentry4.o,0.006400%,6,0,6,0,0,0
hguard.o,0.004267%,4,0,4,0,0,0
