File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
main.o,16.195856%,1204,344,340,0,4,1200
startup_stm32l432xx.o,13.774549%,1024,456,60,396,0,1024
usbd_core.o,11.138015%,828,5803,4882,93,828,0
idle.o,6.026365%,448,366,342,0,24,424
usb_dc_fsdev.o,5.380683%,400,4228,4228,0,0,400
c_w.l,4.842615%,360,4911,4570,329,12,348
kservice.o,4.519774%,336,1884,1550,306,28,308
object.o,3.820285%,284,1757,1326,147,284,0
shell.o,3.726123%,277,2567,2408,139,20,257
scheduler_up.o,3.658865%,272,1166,1078,72,16,256
stdio_streams.o,3.551251%,264,12,0,0,12,252
drv_gpio.o,3.497444%,260,1946,1594,92,260,0
dev_soft_rtc.o,3.120796%,232,802,694,84,24,208
cherry_vcom.o,2.757600%,205,1345,988,208,149,56
drv_soft_i2c.o,2.421308%,180,478,406,72,0,180
ctime.o,1.802529%,134,1653,1454,179,20,114
kstdio.o,1.668012%,124,2088,1810,154,124,0
cmd.o,1.614205%,120,5179,4070,989,120,0
dev_alarm.o,1.412429%,105,1484,1312,171,1,104
libspace.o,1.291364%,96,8,8,0,0,96
dev_pin.o,0.968523%,72,2305,1984,321,0,72
cpu_usage.o,0.968523%,72,348,344,4,0,72
timer.o,0.376648%,28,2147,1996,123,28,0
cpuport.o,0.215227%,16,1528,1512,0,16,0
irq.o,0.161420%,12,116,104,0,12,0
bh1750fvi.o,0.161420%,12,1290,1274,4,12,0
stm32l4xx_hal.o,0.121065%,9,39,30,0,9,0
thread.o,0.107614%,8,3077,2696,373,8,0
sensor.o,0.107614%,8,2231,1892,331,8,0
cpu_up.o,0.107614%,8,122,114,0,8,0
completion_up.o,0.107614%,8,844,762,74,8,0
clock.o,0.107614%,8,215,168,39,8,0
system_stm32l4xx.o,0.053807%,4,320,244,72,4,0
serial.o,0.053807%,4,4239,3838,397,4,0
drv_common.o,0.053807%,4,425,384,37,4,0
dev_rtc.o,0.053807%,4,1085,988,93,4,0
cpu_usage_cmd.o,0.053807%,4,364,328,32,4,0
